Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2067,0,21,270,9,755,184,196,145,900,Cache,C2702,5
2574,0,2,319,20,1419,216,235,156,1595,Commanche,C2703,4
2559,0,0,510,16,1113,218,238,156,1332,Commanche,C2703,2
2647,0,6,402,94,641,212,229,155,1104,Commanche,C2703,2
2651,0,3,335,103,488,215,233,156,1381,Commanche,C2703,2
2647,0,6,417,94,648,212,229,155,1082,Commanche,C2703,2
2639,0,10,366,80,589,206,222,154,1041,Commanche,C2703,2
2590,0,2,201,13,1200,216,235,156,1719,Commanche,C2703,1
2447,0,4,0,0,631,213,232,156,711,Commanche,C2705,5
2501,0,6,228,31,1012,211,228,155,930,Commanche,C2705,1
2500,0,4,30,3,1746,213,232,156,886,Commanche,C2705,5
2641,0,1,90,15,1518,217,236,156,182,Commanche,C2705,2
2346,0,1,0,0,1315,217,236,156,551,Cache,C2717,3
2511,0,13,212,42,42,200,215,152,524,Cache,C2717,1
2266,0,25,162,100,1045,175,185,140,738,Cache,C2717,2
2381,0,16,297,32,1397,195,209,150,592,Cache,C2717,2
2406,0,7,319,165,382,210,228,155,1892,Cache,C2717,2
2504,0,3,90,10,516,215,234,156,1443,Cache,C2717,5
2458,0,8,516,188,937,208,225,154,1055,Cache,C2717,5
2395,0,0,60,6,1170,218,238,156,1054,Cache,C2717,2
2352,0,5,201,58,942,213,231,156,577,Cache,C2717,3
2365,0,17,212,53,1337,194,207,149,391,Cache,C2717,5
2361,0,6,175,22,1390,212,229,155,384,Cache,C2717,2
2919,0,1,376,16,4644,217,236,156,4773,Rawah,C3501,1
2909,0,4,390,3,4633,214,232,156,4264,Rawah,C3502,1
2906,0,6,247,3,4764,212,229,155,4795,Rawah,C3502,1
2903,0,1,190,3,5295,217,236,156,4126,Rawah,C3502,1
2916,0,0,268,3,4948,218,238,156,2799,Rawah,C3502,0
2906,0,3,201,6,5289,215,234,156,4103,Rawah,C3502,1
2547,0,1,60,4,492,217,236,156,1194,Rawah,C4201,1
2545,0,4,108,8,600,213,232,156,1026,Rawah,C4201,1
2769,0,18,95,17,902,190,203,147,2029,Commanche,C4703,0
2892,0,17,716,162,270,194,207,149,1302,Commanche,C4703,1
2636,0,15,212,40,2292,196,210,150,1536,Commanche,C4703,1
2269,0,12,0,0,277,202,217,152,390,Cache,C4703,2
2422,0,13,300,113,402,201,216,152,324,Cache,C4703,2
2349,0,23,124,61,366,180,190,143,495,Cache,C4703,2
2452,0,22,175,43,541,182,193,144,1358,Cache,C4703,5
2240,0,20,95,-25,853,186,198,146,382,Cache,C4703,2
